Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
BOM,AC-01426,GMR1000 Option: NO DISPLAY,Manufacture,1,Order Quantity,,,
Item,Create AC-01426,Finished Good,AC-01426,1,ea,,1,1
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,1,2
Item,Add DL-00029,Raw Good,DL-00029,1,ea,D15,2,3
Item,Add BF-00300-F0,Raw Good,BF-00300-F0,1,ea,,3,4
BOM,AC-01434,GMR1000 Option: TCI,Manufacture,1,Never,,,
Item,Create AC-01434,Finished Good,AC-01434,1,ea,,1,1
Item,Add AP-00157,Raw Good,AP-00157,1,ea,,1,2
Item,Add EC-01404,Raw Good,EC-01404,1,ea,,2,3
BOM,AC-01431,GMR1000 Option: 6-DIGIT DISPLAY (PTP),Manufacture,1,Order Quantity,,,
Item,Create AC-01431,Finished Good,AC-01431,1,ea,,1,1
Item,PCB,Raw Good,EC-00182.22A,1,ea,J23-6 DIGIT DISPLAY,1,2
Item,Add BF-00300-F6P,Raw Good,BF-00300-F6P,1,ea,,2,3
Item,Add LM-00024,Raw Good,LM-00024,1,ea,,3,4
BOM,AC-01433,GMR1000 Option: TCO,Manufacture,1,Never,,,
Item,Create AC-01433,Finished Good,AC-01433,1,ea,,1,1
Item,Add AP-00157,Raw Good,AP-00157,1,ea,,1,2
Item,Add EC-01405,Raw Good,EC-01405,1,ea,,2,3
BOM,AC-00111,GMR5000 Display,Manufacture,1,Order Quantity,,,
Item,Add DL-00183,Raw Good,DL-00183,13,ea,"DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13",1,1
Item,Add DL-00182,Raw Good,DL-00182,9,ea,"D1,D2,D3,D4,D5,D6,D7,D8,D9",2,2
Item,Add BA-00059,Raw Good,BA-00059,2,ea,"J1,J2",3,3
Item,PCB,Raw Good,BC-00116.10B,1,ea,raw board,4,4
Item,Create AC-00111,Finished Good,AC-00111,1,ea,,5,5
BOM,AC-00753-B.14A,GMR5000 [GPS-Buffalo],Manufacture,1,Order Quantity,,,
Item,Create AC-00753-B,Finished Good,AC-00753-B,1,ea,,1,1
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT2,1,2
Item,PCB,Raw Good,EC-01402-B,1,ea,M-GPS,2,3
Item,Add XA-10074,Raw Good,XA-10074,1,ea,W4,3,4
BOM,AC-00753-C.14A,GMR5000 [GPS-CopernicusII],Manufacture,1,Order Quantity,,,
Item,Create AC-00753,Finished Good,AC-00753-C,1,ea,,1,1
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT2,1,2
Item,PCB,Raw Good,EC-01402-C,1,ea,M-GPS,2,3
Item,Add XA-10074,Raw Good,XA-10074,1,ea,W4,3,4
BOM,AC-01425,GMR1000 Option: 10-DIGIT DISPLAY,Manufacture,1,Order Quantity,,,
Item,Create AC-01425,Finished Good,AC-01425,1,ea,,1,1
Item,Add DL-00075,Raw Good,DL-00075,1,ea,D18,1,2
Item,Add AC-00144,Raw Good,xAC-00144,1,ea,J23-10 DIGIT DISPLAY,2,3
BOM,AC-01424,GMR1000 Option: 6-DIGIT DISPLAY (non PTP),Manufacture,1,Order Quantity,,,
Item,Create AC-01424,Finished Good,AC-01424,1,ea,,1,1
Item,PCB,Raw Good,EC-00182.22A,1,ea,J23-6 DIGIT DISPLAY,1,2
Item,Add BF-00300-F6,Raw Good,BF-00300-F6,1,ea,,2,3
