Flag,Description,Type,Part,Quantity,OptionGroup,OptionGroupPrompt,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
BOM,AP-05511,GMR5000 /TCR /TCG,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,11,15
Item,Create AP-05511,Finished Good,AP-05511,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,7
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,8
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,10
Item,Add AC-00754,Raw Good,AC-00754,1,TC INPUT,TC INPUT,,1,11
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,12
Item,Add AC-00756-1,Raw Good,AC-00756-1,1,OSCILLATOR,OSCILLATOR,,1,13
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,10,14
BOM,AP-05510,GMR5000 /GPS /HS2 /TCR /TCG,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,13,19
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,12,17
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,18
Item,Create AP-05510,Finished Good,AP-05510,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,7
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,8
Item,Add AC-00753-C,Raw Good,AC-00753-C,1,GPS/GNSS,GPS/GNSS,,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,10
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,11
Item,Add AC-00754,Raw Good,AC-00754,1,TC INPUT,TC INPUT,,1,12
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,13
Item,Add AC-00756-2,Raw Good,AC-00756-2,1,OSCILLATOR,OSCILLATOR,,1,14
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,15
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,16
BOM,AP-02016,GMR1000 /PTP /D6 /GPS,Manufacture,1,,,,,
Item,Add AP-00313,Raw Good,AP-00313,1,,,,15,19
Item,Add AC-01421,Raw Good,AC-01421,1,,,,16,20
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,18
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,11
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02016,Finished Good,AP-02016,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,10
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,12,12
Item,Add AC-01431,Raw Good,AC-01431,1,DISPLAY,DISPLAY,,1,15
Item,PTP,Raw Good,EC-01440-DB9,1,BASE,BASE,,1,13
Item,PCB,Raw Good,EC-01400,1,HSO,HSO,X1,1,14
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,16
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,17
BOM,AP-05507,GMR5000 /GNSS /HS2 /TCR /TCG /SYNC /PPO /10M-I /10M-O,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,17,23
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,22
Item,Add XA-10074,Raw Good,XA-10074,1,10MHz OUTPUT,10MHz OUTPUT,W3,1,21
Item,Create AP-05507,Finished Good,AP-05507,1,,,,1,1
